[08:21:36] [LOGGING]	 STARTING LOGGING
[08:21:36] [INIT]	 ==========================================
[08:21:36] [INIT]	 S.A.R.A.H. => MICRO
[08:21:36] [INIT]	 ==========================================
[08:21:36] [INIT]	 Server: http://127.0.0.1:8080
[08:21:36] [INIT]	 Confidence: 0,65
[08:21:36] [INIT]	 ==========================================
[08:21:37] [INIT]	 Starting Server: http://192.168.43.82:8888/
[08:21:37] [INIT]	 Starting Server: http://127.0.0.1:8888/
[08:21:37] [WATCHER]	 Stop watching
[08:21:37] [GRAMMAR]	 Load file: time.xml : E:\O.V.E.R\macros\time.xml
[08:21:37] [GRAMMAR]	 Add to context list: time.xml
[08:21:37] [WATCHER]	 Watching directory: macros
[08:21:37] [GRAMMAR]	 Load file: jarvis.xml : E:\O.V.E.R\plugins\jarvis\jarvis.xml
[08:21:37] [GRAMMAR]	 Add to context list: jarvis.xml
[08:21:37] [WATCHER]	 Watching directory: plugins
[08:21:37] [WATCHER]	 Start watching
[08:21:37] [GRAMMAR]	 Context: default
[08:21:37] [GRAMMAR]	 Context: time.xml, jarvis.xml
[08:21:38] [GRAMMAR]	 File: Load Grammar to Engine
[08:21:38] [GRAMMAR]	 File: Load: time.xml Enabled: True
[08:21:39] [GRAMMAR]	 File: Load Grammar to Engine
[08:21:39] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[08:21:39] [ENGINE - File]	 Init recognizer
[08:21:39] [ENGINE - File]	 AudioLevel: 0
[08:21:39] [ENGINE - File]	 MaxAlternates: 1
[08:21:39] [ENGINE - File]	 BabbleTimeout: 00:00:00
[08:21:39] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[08:21:39] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[08:21:39] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[08:21:39] [GRAMMAR]	 Default: Load Grammar to Engine
[08:21:39] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[08:21:39] [GRAMMAR]	 Default: Load Grammar to Engine
[08:21:39] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[08:21:39] [ENGINE - Default]	 Init recognizer
[08:21:39] [ENGINE - Default]	 AudioLevel: 0
[08:21:39] [ENGINE - Default]	 MaxAlternates: 1
[08:21:39] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[08:21:39] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[08:21:39] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[08:21:39] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[08:21:39] [ENGINE - Default]	 Start listening
[08:21:40] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[08:21:41] [ENGINE]	 [Default] level: 0 state: Stopped
[08:21:42] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Realtek High Def Channels: 2 Playback: True
[08:21:42] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[08:21:42] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[08:21:42] [ENGINE]	 Restart timeout: 3600000
[08:21:56] [ENGINE - Default]	 recognizer_SpeechHypothesized OVER => 0,7737322
